"tick","Human Count","Zombie Count"
1.0,100,5
2.0,100,5
3.0,100,5
4.0,100,5
5.0,100,5
6.0,100,5
7.0,100,5
8.0,100,5
9.0,100,5
10.0,100,5
11.0,100,5
12.0,100,5
13.0,100,5
14.0,100,5
15.0,99,6
16.0,99,6
17.0,99,6
18.0,99,6
19.0,99,6
20.0,99,6
21.0,99,6
22.0,99,6
23.0,98,7
24.0,98,7
25.0,97,8
26.0,96,9
27.0,96,9
28.0,96,9
29.0,96,9
30.0,96,9
31.0,96,9
32.0,96,9
33.0,95,10
34.0,94,11
35.0,94,11
36.0,93,12
37.0,93,12
38.0,92,13
39.0,92,13
40.0,91,14
41.0,90,15
42.0,89,16
43.0,88,17
44.0,88,17
45.0,87,18
46.0,87,18
47.0,87,18
48.0,87,18
49.0,87,18
50.0,86,19
51.0,86,19
52.0,85,20
53.0,85,20
54.0,85,20
55.0,85,20
56.0,85,20
57.0,83,22
58.0,82,23
59.0,82,23
60.0,82,23
61.0,82,23
62.0,82,23
63.0,82,23
64.0,82,23
65.0,82,23
66.0,81,24
67.0,81,24
68.0,81,24
69.0,80,25
70.0,79,26
71.0,78,27
72.0,78,27
73.0,77,28
74.0,77,28
75.0,77,28
76.0,76,29
77.0,74,31
78.0,73,32
79.0,73,32
80.0,73,32
81.0,73,32
82.0,72,33
83.0,72,33
84.0,71,34
85.0,70,35
86.0,70,35
87.0,69,36
88.0,68,37
89.0,68,37
90.0,68,37
91.0,67,38
92.0,67,38
93.0,66,39
94.0,66,39
95.0,66,39
96.0,64,41
97.0,63,42
98.0,62,43
99.0,61,44
100.0,60,45
101.0,60,45
102.0,59,46
103.0,59,46
104.0,59,46
105.0,59,46
106.0,59,46
107.0,58,47
108.0,58,47
109.0,58,47
110.0,58,47
111.0,58,47
112.0,58,47
113.0,57,48
114.0,57,48
115.0,57,48
116.0,57,48
117.0,57,48
118.0,57,48
119.0,56,49
120.0,56,49
121.0,56,49
122.0,55,50
123.0,54,51
124.0,54,51
125.0,54,51
126.0,54,51
127.0,54,51
128.0,54,51
129.0,52,53
130.0,51,54
